Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
STATION RD & SWENSSON AVE,PDO,ABBOTSFORD,2020,1,49.051184,-122.456826
LEFEUVRE RD & MARSH MCCORMICK RD,PDO,ABBOTSFORD,2020,2,49.146958,-122.450297
FRASER HWY & LEFEUVRE RD & TURNING LANE,PDO,ABBOTSFORD,2020,8,49.057313,-122.448685
HUNTINGDON RD & LEFEUVRE RD,PDO,ABBOTSFORD,2020,1,49.016892,-122.448677
KING RD & LEFEUVRE RD,PDO,ABBOTSFORD,2020,4,49.031414,-122.448667
56TH AVE & 58TH AVE,PDO,ABBOTSFORD,2020,1,49.106938,-122.446391
COTTONWOOD ST & FRASER HWY,PDO,ABBOTSFORD,2020,4,49.057183,-122.440628
HUNTINGDON RD & PRIVATE DRIVEWAY,PDO,ABBOTSFORD,2020,1,49.016875,-122.43759
BRADNER RD & STARR RD,PDO,ABBOTSFORD,2020,1,49.118149,-122.426966
58TH AVE & BRADNER RD,PDO,ABBOTSFORD,2020,2,49.107294,-122.426708
BRADNER RD & KING RD,PDO,ABBOTSFORD,2020,7,49.031268,-122.426616
BRADNER RD & RANCH AVE,PDO,ABBOTSFORD,2020,1,49.042243,-122.426551
BRADNER RD & SIMPSON RD & UNNAMED,PDO,ABBOTSFORD,2020,1,49.045889,-122.426533
BRADNER RD & HUNTINGDON RD,PDO,ABBOTSFORD,2020,3,49.01676,-122.426517
0 AVE & BRADNER RD,PDO,ABBOTSFORD,2020,1,49.002362,-122.426442
HUNTINGDON RD & ROSS RD,PDO,ABBOTSFORD,2020,2,49.017333,-122.403943
DOWNES RD & ROSS RD,PDO,ABBOTSFORD,2020,3,49.075021,-122.403705
FRASER HWY & ROSS RD,PDO,ABBOTSFORD,2020,19,49.057584,-122.403618
AUTOMALL DR & CARDINAL AVE & MT LEHMAN RD & TURNING LANE,PDO,ABBOTSFORD,2020,14,49.060484,-122.381225
MT LEHMAN RD & SANDPIPER DR,PDO,ABBOTSFORD,2020,3,49.062751,-122.38121
BROOKSIDE AVE & MT LEHMAN RD,PDO,ABBOTSFORD,2020,1,49.071627,-122.381188
FRASER HWY & MT LEHMAN RD & TURNING LANE,PDO,ABBOTSFORD,2020,58,49.055796,-122.381184
MT LEHMAN RD & PRIVATE DRIVEWAY,PDO,ABBOTSFORD,2020,1,49.08308,-122.381165
FRASER HWY & FRASER HWY OFFRAMP & FRASER HWY ONRAMP & MACLURE RD OFFRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP,PDO,ABBOTSFORD,2020,2,49.05629,-122.377644
BLUERIDGE DR & CRESTVIEW AVE & GOLDFINCH ST,PDO,ABBOTSFORD,2020,2,49.065764,-122.377114
EMPRESS DR & REGAL PKY,PDO,ABBOTSFORD,2021,1,49.051513,-122.227028
TRANS-CANADA HWY & WHATCOM RD,PDO,ABBOTSFORD,2021,30,49.039069,-122.219916
0 AVE & LEFEUVRE RD,Casualty,ABBOTSFORD,2018,1,49.002369,-122.448504
4TH AVE & SUMAS WAY,Casualty,ABBOTSFORD,2018,1,49.006029,-122.265233
58TH AVE & BEATTY RD,Casualty,ABBOTSFORD,2018,1,49.107103,-122.437738
ADAIR AVE & ATWATER CRES,Casualty,ABBOTSFORD,2018,1,49.061594,-122.33188
ADAIR AVE & TRETHEWEY ST,Casualty,ABBOTSFORD,2018,1,49.061561,-122.326996
ADELAIDE ST & HILLCREST AVE,Casualty,ABBOTSFORD,2018,1,49.049022,-122.328109
ALBION ST & CORDOVA AVE,Casualty,ABBOTSFORD,2018,1,49.037452,-122.323716
ALEXANDER CRES & LOBBAN RD,Casualty,ABBOTSFORD,2018,1,49.044029,-122.288306
AMICUS PL & BOURQUIN CRES W,Casualty,ABBOTSFORD,2018,1,49.053451,-122.310252
ANORA DR & CHAMPLAIN CRES & MCMILLAN RD,Casualty,ABBOTSFORD,2018,1,49.042979,-122.260365
APPROACH DR & MT LEHMAN RD,Casualty,ABBOTSFORD,2018,1,49.030448,-122.379567
ASH ST & GREEN AVE & WALNUT AVE,Casualty,ABBOTSFORD,2018,1,49.052695,-122.277315
ASH ST & OLD CLAYBURN RD,Casualty,ABBOTSFORD,2018,1,49.053698,-122.277376
ASH ST & WOODBINE CRES & WOODBINE ST,Casualty,ABBOTSFORD,2018,1,49.051779,-122.277683
