Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
COMO LAKE AVE & CRESTWOOD DR,PDO,COQUITLAM,2021,1,49.263461,-122.852728
BRUNETTE AVE & SCHOOLHOUSE ST,PDO,COQUITLAM,2021,6,49.240625,-122.85245
FOSTER AVE & SCHOOLHOUSE ST,PDO,COQUITLAM,2021,2,49.256146,-122.852211
BRUNETTE AVE & LAURENTIAN CRES,PDO,COQUITLAM,2021,1,49.240002,-122.849725
COMO LAKE AVE & WASCO ST,PDO,COQUITLAM,2021,1,49.263432,-122.849657
HAMMOND AVE & LAURENTIAN CRES,PDO,COQUITLAM,2021,1,49.243912,-122.844072
AUSTIN AVE & LAURENTIAN CRES,PDO,COQUITLAM,2021,3,49.248993,-122.843978
LAURENTIAN CRES & SARGENT CRT & TRENT AVE,PDO,COQUITLAM,2021,1,49.254791,-122.84369
AUSTIN AVE & LINTON ST,PDO,COQUITLAM,2021,2,49.249016,-122.841112
LEMAX AVE & LINTON ST,PDO,COQUITLAM,2021,2,49.252519,-122.840991
FOSTER AVE & LINTON ST,PDO,COQUITLAM,2021,1,49.256056,-122.840887
GROVER AVE & LINTON ST,PDO,COQUITLAM,2021,1,49.262488,-122.840827
HWY 7 OFFRAMP & LOUGHEED HWY & TRANS-CANADA HWY OFFRAMP,PDO,COQUITLAM,2021,10,49.22929,-122.836838
HILLCREST ST & WINSLOW AVE,PDO,COQUITLAM,2021,1,49.253757,-122.835421
MORAY ST & PINECREST AVE & THERMAL DR,PDO,COQUITLAM,2021,2,49.27138,-122.834802
LORRAINE AVE & MUNDY ST,PDO,COQUITLAM,2021,1,49.242564,-122.834217
BAKER DR & COMO LAKE AVE,PDO,COQUITLAM,2021,1,49.263194,-122.824706
AUSTIN AVE & HICKEY DR & HICKEY ST,PDO,COQUITLAM,2021,1,49.24907,-122.82441
BURBIDGE ST & UNITED BLVD & INSTITUTIONAL ACCESS ROAD,PDO,COQUITLAM,2021,4,49.226217,-122.823679
HWY 7 OFFRAMP & LOUGHEED HWY ONRAMP & UNITED BLVD,PDO,COQUITLAM,2021,8,49.236859,-122.82073
DARTMOOR DR & MARINER WAY,PDO,COQUITLAM,2021,1,49.240174,-122.820482
TRANS-CANADA HWY & UNITED BLVD,PDO,COQUITLAM,2021,7,49.227089,-122.820129
DAVID AVE & NOONS CREEK DR,PDO,COQUITLAM,2021,1,49.296198,-122.819482
MARY HILL BYPASS ONRAMP & UNITED BLVD,PDO,COQUITLAM,2021,1,49.227931,-122.819388
FALCON DR & GUILDFORD WAY,PDO,COQUITLAM,2021,1,49.284496,-122.818481
BARNET HWY & FALCON DR & TURNING LANE,PDO,COQUITLAM,2021,10,49.277898,-122.818365
HAWSER AVE & MARINER WAY,PDO,COQUITLAM,2021,2,49.270858,-122.81466
CAPE HORN AVE & COLONY FARM RD & LOUGHEED HWY & TURNING LANE,PDO,COQUITLAM,2021,30,49.240127,-122.8138
GLEN DR & HEATH CRES & LANSDOWNE DR,PDO,COQUITLAM,2021,6,49.2827,-122.808645
DOLPHIN ST & MARINER WAY,PDO,COQUITLAM,2021,1,49.273058,-122.808642
BARNET HWY & LANSDOWNE DR & TURNING LANE,PDO,COQUITLAM,2021,17,49.277839,-122.808323
EAGLERIDGE DR & HIALEAH CRT & LANSDOWNE DR,PDO,COQUITLAM,2021,1,49.280723,-122.808318
DACRE AVE & DEWDNEY TRUNK RD & RANCH PARK WAY,PDO,COQUITLAM,2021,1,49.272146,-122.803116
JOHNSON ST & PACKARD AVE,PDO,COQUITLAM,2021,1,49.279958,-122.80169
DURANT DR & JOHNSON ST,PDO,COQUITLAM,2021,4,49.287513,-122.801535
LOUGHEED HWY & PITT RIVER RD,PDO,COQUITLAM,2021,26,49.250608,-122.801299
HOLLY DR & LOUGHEED HWY,PDO,COQUITLAM,2021,1,49.256704,-122.798893
GLEN DR & PACIFIC ST,PDO,COQUITLAM,2021,1,49.282715,-122.798832
DEWDNEY TRUNK RD & LOUGHEED HWY,PDO,COQUITLAM,2021,20,49.268548,-122.798704
LOUGHEED HWY & ORCHID DR & TURNING LANE & UNSIGNED,PDO,COQUITLAM,2021,9,49.260269,-122.79782
BARNET HWY & LOUGHEED HWY & PINETREE WAY & TURNING LANE,PDO,COQUITLAM,2021,77,49.276261,-122.797294
DEWDNEY TRUNK RD & HOY ST,PDO,COQUITLAM,2021,1,49.26808,-122.796239
DEWDNEY TRUNK RD & IRVINE ST,PDO,COQUITLAM,2021,1,49.268072,-122.79479
COMO LAKE AVE & WESTWOOD ST,PDO,COQUITLAM,2021,2,49.263079,-122.79429
LINCOLN AVE & PINETREE WAY & MALL ACCESS,PDO,COQUITLAM,2021,14,49.279597,-122.794238
