Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
LADNER TRUNK RD & LINDEN DR,Casualty,DELTA,2021,1,49.090217,-123.071761
1 AVE & 55A ST,Casualty,DELTA,2021,1,49.004456,-123.070117
56 ST & HWY 17 & TURNING LANE,Casualty,DELTA,2020,7,49.042875,-123.068691
12 AVE & 56 ST,Casualty,DELTA,2020,6,49.024694,-123.068667
56 ST & 8 AVE,Casualty,DELTA,2021,1,49.01737,-123.068654
56 ST & 8A AVE,Casualty,DELTA,2020,1,49.018007,-123.068638
16 AVE & 56 ST,Casualty,DELTA,2020,1,49.032012,-123.067952
48B AVE & 57 ST,Casualty,DELTA,2020,1,49.091392,-123.065259
57 ST & CRESCENT DR,Casualty,DELTA,2021,2,49.097721,-123.06518
1 AVE & 56 ST,Casualty,DELTA,2018,1,49.00446,-123.068649
104 ST & 59 AVE,Casualty,DELTA,2018,1,49.109851,-122.934973
104 ST & HORNBY DR,Casualty,DELTA,2018,1,49.090065,-122.93481
108 ST & 82 AVE,Casualty,DELTA,2018,1,49.152238,-122.923444
108 ST & 85A AVE,Casualty,DELTA,2018,1,49.158591,-122.923424
109A ST & KITTSON PKY & LYON RD,Casualty,DELTA,2018,1,49.119228,-122.919974
110 ST & 82 AVE,Casualty,DELTA,2018,1,49.152237,-122.918108
112 ST & 83 AVE,Casualty,DELTA,2018,1,49.15427,-122.912395
112 ST & 88 AVE,Casualty,DELTA,2018,1,49.163335,-122.912359
112 ST & 91 AVE,Casualty,DELTA,2018,1,49.168764,-122.911989
112 ST & HWY 99,Casualty,DELTA,2018,1,49.091531,-122.912568
112B ST & 78B AVE,Casualty,DELTA,2018,1,49.146146,-122.910307
112B ST & 80 AVE,Casualty,DELTA,2018,1,49.148656,-122.910325
114 ST & 92 AVE,Casualty,DELTA,2018,1,49.170636,-122.907729
115 ST & 84A AVE,Casualty,DELTA,2018,1,49.156641,-122.90398
116 ST & 85 AVE,Casualty,DELTA,2018,1,49.158061,-122.902143
116 ST & 94 AVE,Casualty,DELTA,2018,1,49.173685,-122.901204
117 ST & 75A AVE,Casualty,DELTA,2018,1,49.140152,-122.898718
117 ST & 76A AVE,Casualty,DELTA,2018,1,49.14196,-122.898708
117B ST & 84 AVE,Casualty,DELTA,2018,1,49.155922,-122.896745
118 ST & 79A AVE,Casualty,DELTA,2018,1,49.147694,-122.895882
119 ST & NORDEL WAY,Casualty,DELTA,2018,1,49.161719,-122.892981
119A ST & 92 AVE,Casualty,DELTA,2018,1,49.170465,-122.892218
12 AVE & 55 ST,Casualty,DELTA,2018,1,49.024705,-123.072136
12 AVE & ENGLISH BLUFF RD,Casualty,DELTA,2018,1,49.024723,-123.090828
120 ST,Casualty,DELTA,2018,1,49.150457,-122.890448
120 ST & 92A AVE,Casualty,DELTA,2018,1,49.171372,-122.890249
120 ST & 95 AVE & MALL ACCESS,Casualty,DELTA,2018,1,49.175047,-122.890195
120 ST & HOLT RD,Casualty,DELTA,2018,1,49.169177,-122.890278
120 ST & WADE RD,Casualty,DELTA,2018,1,49.124117,-122.890373
16 AVE & 53A ST,Casualty,DELTA,2018,1,49.032032,-123.075315
27B AVE & 28 AVE & 48 ST,Casualty,DELTA,2018,1,49.053882,-123.090364
28 AVE & 52 ST,Casualty,DELTA,2018,1,49.053881,-123.079702
28 AVE & 53 ST,Casualty,DELTA,2018,1,49.053868,-123.076903
33A AVE & 34 ST,Casualty,DELTA,2018,1,49.063972,-123.130558
34B AVE & ARTHUR DR,Casualty,DELTA,2018,1,49.0661,-123.077582
36 AVE & 72 ST,Casualty,DELTA,2018,1,49.068224,-123.024163
36 AVE & ARTHUR DR,Casualty,DELTA,2018,1,49.068493,-123.077666
4 AVE & 56 ST & SOUTHLANDS DR,Casualty,DELTA,2018,1,49.010096,-123.068646
41B ST & 41B ST CONNECTOR RD & DELTAPORT WAY & TURNING LANE,Casualty,DELTA,2018,1,49.059851,-123.110239
41B ST & DELTAPORT WAY,Casualty,DELTA,2018,1,49.058949,-123.109934
44 AVE & 48B ST,Casualty,DELTA,2018,1,49.08294,-123.088777
44 AVE & 52A ST,Casualty,DELTA,2018,1,49.083062,-123.076682
45 AVE & 46B ST,Casualty,DELTA,2018,1,49.085196,-123.094046
45 AVE & 48B ST,Casualty,DELTA,2018,1,49.085164,-123.088751
45 AVE & 53 ST & MAPLE CRES,Casualty,DELTA,2018,1,49.08547,-123.075912
45 AVE & ARTHUR DR,Casualty,DELTA,2018,1,49.085139,-123.079084
47 AVE & ARTHUR DR,Casualty,DELTA,2018,1,49.088299,-123.08008
47A AVE & DELTA ST,Casualty,DELTA,2018,1,49.089248,-123.085023
47A AVE & GARRY ST,Casualty,DELTA,2018,1,49.089244,-123.086748
48 AVE & DELTA ST,Casualty,DELTA,2018,1,49.090138,-123.085006
53 ST & 53A ST & 8A AVE,Casualty,DELTA,2018,1,49.018072,-123.07673
54A ST & LADNER TRUNK RD,Casualty,DELTA,2018,1,49.090219,-123.072347
56 ST & SHERWOOD BLVD,Casualty,DELTA,2018,1,49.003077,-123.068661
56 ST & VIEW CRES & MALL ACCESS,Casualty,DELTA,2018,1,49.027466,-123.068688
60 AVE & 62B ST & HWY 17A & TURNING LANE,Casualty,DELTA,2018,1,49.112156,-123.051242
60 AVE & RIVER RD,Casualty,DELTA,2018,1,49.114683,-123.06177
64 AVE & MCKENZIE DR,Casualty,DELTA,2018,1,49.119337,-122.910354
64 AVE & SUMMIT CRES,Casualty,DELTA,2018,1,49.119464,-122.90147
68 ST & MACDONALD RD & RIVER RD,Casualty,DELTA,2018,1,49.135422,-123.034012
72 ST & 72 ST OFFRAMP & BURNS DR & BURNS DR ONRAMP & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & HWY 17A OFFRAMP & HWY 99,Casualty,DELTA,2018,1,49.095309,-123.026444
72 ST & CHURCHILL ST,Casualty,DELTA,2018,1,49.082385,-123.024113
72 ST & HWY 99,Casualty,DELTA,2018,1,49.093942,-123.019084
72 ST & LADNER TRUNK RD,Casualty,DELTA,2018,1,49.090063,-123.024078
72 ST OFFRAMP & HWY 99,Casualty,DELTA,2018,1,49.095344,-123.026296
88 ST & LADNER TRUNK RD,Casualty,DELTA,2018,1,49.089931,-122.979476
96 ST & HWY 91 CONN & RIVER RD & TURNING LANE,Casualty,DELTA,2018,1,49.152882,-122.956188
ALEX FRASER BRIDGE & DERWENT WAY,Casualty,DELTA,2018,1,49.165571,-122.945056
ALEX FRASER BRIDGE & RIVER RD,Casualty,DELTA,2018,1,49.156442,-122.941287
ALEXANDER RD & RIVER RD,Casualty,DELTA,2018,1,49.150917,-122.991249
ARTHUR DR & WHITWORTH CRES S,Casualty,DELTA,2018,1,49.079975,-123.078709
BAKER RD & NICHOLSON RD,Casualty,DELTA,2018,1,49.126744,-122.892999
BELGRAVE WAY & CALDEW ST,Casualty,DELTA,2018,1,49.180115,-122.934059
BELGRAVE WAY & CLIVEDEN AVE,Casualty,DELTA,2018,1,49.175863,-122.937818
BENTLEY DR & FERRY RD & WESTMINSTER AVE,Casualty,DELTA,2018,1,49.097049,-123.078419
BERG RD & RIVER RD,Casualty,DELTA,2018,1,49.140935,-123.011488
BOOTH RD & RIVER RD,Casualty,DELTA,2018,1,49.099737,-123.078017
BRIDGE ST & ELLIOTT ST & WESTMINSTER AVE,Casualty,DELTA,2018,1,49.091919,-123.084237
BRIDLINGTON DR & MONROE DR,Casualty,DELTA,2018,1,49.144317,-122.91692
CALDEW ST & DERWENT WAY,Casualty,DELTA,2018,1,49.177711,-122.93106
CENTRAL AVE & LADNER TRUNK RD,Casualty,DELTA,2018,1,49.090251,-123.080991
CLIVEDEN AVE & FOSTERS WAY,Casualty,DELTA,2018,1,49.163616,-122.971964
CLIVEDEN AVE & TURNING LANE,Casualty,DELTA,2018,1,49.166149,-122.964649
DELTAPORT WAY & DELTAPORT WAY OFFRAMP & DELTAPORT WAY ONRAMP & HWY 17 & HWY 17A & HWY 17A OFFRAMP,Casualty,DELTA,2018,1,49.058798,-123.056278
DELTAPORT WAY ONRAMP & HWY 17,Casualty,DELTA,2018,1,49.059427,-123.053678
EATON WAY & LINDSEY PL,Casualty,DELTA,2018,1,49.164364,-122.963068
ELLIOTT ST & TRENANT ST,Casualty,DELTA,2018,1,49.092384,-123.084936
GARFIELD DR & MONROE DR,Casualty,DELTA,2018,1,49.144412,-122.922109
HUFF BLVD & LYON RD,Casualty,DELTA,2018,1,49.127368,-122.915006
HUME AVE & VENTURE ST,Casualty,DELTA,2018,1,49.131325,-123.022186
HWY 91 & HWY 91 OFFRAMP & HWY 99,Casualty,DELTA,2018,1,49.092117,-122.893899
KITTSON PKY & MCKENZIE DR,Casualty,DELTA,2018,1,49.118849,-122.910334
KITTSON PKY & SUMMIT CRES,Casualty,DELTA,2018,1,49.119027,-122.901496
KNUDSON RD & RIVER RD,Casualty,DELTA,2018,1,49.175504,-122.914641
