Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
88 AVE & TRATTLE ST,PDO,LANGLEY,2020,1,49.162756,-122.590269
96 AVE & FRENICE CRES & TRATTLE ST,PDO,LANGLEY,2020,1,49.170914,-122.586631
232 ST & 8 AVE,PDO,LANGLEY,2020,1,49.016084,-122.582063
232 ST & 40 AVE,PDO,LANGLEY,2020,4,49.074624,-122.581423
232 ST & 232 ST OFFRAMP & 232 ST ONRAMP & 72 AVE & 72 AVE ONRAMP & TRANS-CANADA HWY,PDO,LANGLEY,2020,41,49.136327,-122.581328
FRANCIS AVE & GLOVER RD,PDO,LANGLEY,2020,1,49.167104,-122.581317
232 ST & 48 AVE,PDO,LANGLEY,2020,1,49.08936,-122.581292
0 AVE & 232 ST,PDO,LANGLEY,2020,1,49.002265,-122.580992
44 AVE & FRASER HWY,PDO,LANGLEY,2020,1,49.081481,-122.579275
GLOVER RD & MARY AVE,PDO,LANGLEY,2020,1,49.16919,-122.579077
GLOVER RD & MAVIS AVE,PDO,LANGLEY,2020,3,49.17027,-122.577888
MARY AVE & QUEEN ST,PDO,LANGLEY,2020,1,49.168182,-122.576794
16 AVE & 236 ST,PDO,LANGLEY,2020,1,49.030633,-122.570796
236 ST & 70A AVE,PDO,LANGLEY,2020,1,49.130685,-122.570441
240 ST & 56 AVE,PDO,LANGLEY,2020,1,49.104058,-122.559209
240 ST & FRASER HWY,PDO,LANGLEY,2020,6,49.074355,-122.559177
240 ST & 52 AVE,PDO,LANGLEY,2020,1,49.096712,-122.559157
244 ST & ROBERTSON CRES,PDO,LANGLEY,2020,1,49.081614,-122.548073
16 AVE & 248 ST,PDO,LANGLEY,2020,6,49.030606,-122.536995
248 ST & ROBERTSON CRES,PDO,LANGLEY,2020,1,49.079205,-122.536928
36 AVE & FRASER HWY,PDO,LANGLEY,2020,1,49.067278,-122.527031
256 ST & FRASER HWY,PDO,LANGLEY,2020,1,49.064379,-122.514772
264 ST & 264 ST OFFRAMP & 264 ST ONRAMP & 56 AVE & 56 AVE OFFRAMP & 56 AVE ONRAMP & TRANS-CANADA HWY & TURNING LANE,PDO,LANGLEY,2020,47,49.101569,-122.492803
264 ST & 36 AVE,PDO,LANGLEY,2020,2,49.067551,-122.492731
264 ST & 32 AVE,PDO,LANGLEY,2020,4,49.060317,-122.492704
264 ST & FRASER HWY & TURNING LANE,PDO,LANGLEY,2020,38,49.059526,-122.49269
264 ST & 30A AVE,PDO,LANGLEY,2020,1,49.05789,-122.492683
0 AVE & 264 ST,PDO,LANGLEY,2020,1,49.002285,-122.492611
16 AVE & 264 ST & TURNING LANE,PDO,LANGLEY,2020,6,49.031267,-122.492516
265A ST & FRASER HWY,PDO,LANGLEY,2020,2,49.059254,-122.489479
267 ST & 64 AVE,PDO,LANGLEY,2020,1,49.118306,-122.484515
268 ST & 32 AVE,PDO,LANGLEY,2020,3,49.060411,-122.481579
270 ST & FRASER HWY & TURNING LANE,PDO,LANGLEY,2020,5,49.058205,-122.476549
270 ST & 58 AVE,PDO,LANGLEY,2020,1,49.107183,-122.47652
272 ST & 64 AVE,PDO,LANGLEY,2020,1,49.118004,-122.471176
272 ST & 8 AVE,PDO,LANGLEY,2020,3,49.016903,-122.470716
273 ST & 32 AVE,PDO,LANGLEY,2020,1,49.060487,-122.467976
275A ST & 28 AVE,PDO,LANGLEY,2020,1,49.053122,-122.461281
32 AVE & STATION RD,PDO,LANGLEY,2020,1,49.060494,-122.459795
FRASER HWY & STATION RD & TURNING LANE,PDO,LANGLEY,2020,8,49.057649,-122.459765
196 ST & 33A AVE,PDO,LANGLEY,2019,1,49.062683,-122.680557
196 ST & 64 AVE,PDO,LANGLEY,2019,13,49.119071,-122.679946
196 ST & 73 AVE & 73A AVE,PDO,LANGLEY,2019,2,49.135673,-122.679574
196B ST & 72 AVE,PDO,LANGLEY,2019,1,49.133597,-122.677724
197 ST & 98A AVE,PDO,LANGLEY,2019,1,49.182467,-122.677204
197 ST & 80 AVE,PDO,LANGLEY,2019,1,49.148222,-122.675802
FRASER HWY & LANGLEY BYPASS & TURNING LANE,PDO,LANGLEY,2019,56,49.111887,-122.675391
198 ST & 64 AVE,PDO,LANGLEY,2019,5,49.119019,-122.674716
197B ST & 98 AVE,PDO,LANGLEY,2019,1,49.180553,-122.674662
198 ST & PRODUCTION WAY,PDO,LANGLEY,2019,1,49.108273,-122.674625
198 ST & 96 AVE & TELEGRAPH TRAIL,PDO,LANGLEY,2019,11,49.17699,-122.6739
FRASER HWY & LANDMARK WAY,PDO,LANGLEY,2019,1,49.11115,-122.67377
199 ST & 71 AVE,PDO,LANGLEY,2019,1,49.132044,-122.671409
0 AVE & 232 ST,Casualty,LANGLEY,2018,1,49.002265,-122.580992
101 AVE & 199B ST,Casualty,LANGLEY,2018,1,49.185759,-122.66838
13 AVE & 264 ST,Casualty,LANGLEY,2018,1,49.025824,-122.492543
16 AVE & 197A ST,Casualty,LANGLEY,2018,1,49.031104,-122.676177
16 AVE & 227 ST,Casualty,LANGLEY,2018,1,49.030818,-122.595539
16 AVE & 236 ST,Casualty,LANGLEY,2018,1,49.030633,-122.570796
16 AVE & 246 ST,Casualty,LANGLEY,2018,1,49.030569,-122.542642
16 AVE & 272 ST,Casualty,LANGLEY,2018,1,49.031404,-122.470685
18 AVE & 200 ST,Casualty,LANGLEY,2018,1,49.034895,-122.669302
196 ST & 36 AVE,Casualty,LANGLEY,2018,1,49.067409,-122.680565
196 ST & 60 AVE,Casualty,LANGLEY,2018,1,49.111237,-122.680001
196 ST & 68 AVE,Casualty,LANGLEY,2018,1,49.126338,-122.679781
196 ST & 68A AVE,Casualty,LANGLEY,2018,1,49.127443,-122.679748
196 ST & 73 AVE & 73A AVE,Casualty,LANGLEY,2018,1,49.135673,-122.679574
196A ST & 36 AVE,Casualty,LANGLEY,2018,1,49.067401,-122.679347
196A ST & 68 AVE,Casualty,LANGLEY,2018,1,49.126326,-122.678931
196A ST & TELEGRAPH TRAIL,Casualty,LANGLEY,2018,1,49.179841,-122.677998
196B ST & 72 AVE,Casualty,LANGLEY,2018,1,49.133597,-122.677724
197 ST & 68 AVE,Casualty,LANGLEY,2018,1,49.126302,-122.676885
197 ST & 72 AVE,Casualty,LANGLEY,2018,1,49.133586,-122.676186
197B ST & TELEGRAPH TRAIL,Casualty,LANGLEY,2018,1,49.178389,-122.674696
198 ST & 36 AVE,Casualty,LANGLEY,2018,1,49.06741,-122.675236
198 ST & 54 AVE,Casualty,LANGLEY,2018,1,49.100707,-122.67433
198A ST & 80 AVE,Casualty,LANGLEY,2018,1,49.148238,-122.672596
199 ST & 56 AVE,Casualty,LANGLEY,2018,1,49.104359,-122.670926
199 ST & 64 AVE,Casualty,LANGLEY,2018,1,49.119014,-122.67043
199 ST & 80 AVE,Casualty,LANGLEY,2018,1,49.148245,-122.67114
199A ST & 73A AVE,Casualty,LANGLEY,2018,1,49.135663,-122.669708
200 ST & 24 AVE,Casualty,LANGLEY,2018,1,49.045644,-122.669406
200 ST & 33A AVE,Casualty,LANGLEY,2018,1,49.062669,-122.669514
200 ST & 38A AVE,Casualty,LANGLEY,2018,1,49.071915,-122.669489
200 ST & 3B AVE,Casualty,LANGLEY,2018,1,49.00625,-122.669865
200 ST & 40A AVE,Casualty,LANGLEY,2018,1,49.076086,-122.669504
200 ST & 46 AVE,Casualty,LANGLEY,2018,1,49.085857,-122.668797
200 ST & 49 AVE,Casualty,LANGLEY,2018,1,49.091271,-122.668648
200 ST & 53A AVE,Casualty,LANGLEY,2018,1,49.099807,-122.668726
200A ST & 40 AVE,Casualty,LANGLEY,2018,1,49.074706,-122.668207
200A ST & INDUSTRIAL AVE,Casualty,LANGLEY,2018,1,49.109581,-122.667263
201 ST & 66 AVE,Casualty,LANGLEY,2018,1,49.122616,-122.665763
201 ST & GOLDEN EARS BRIDGE,Casualty,LANGLEY,2018,1,49.185708,-122.664276
201A ST & 53 AVE,Casualty,LANGLEY,2018,1,49.098463,-122.664355
201A ST & MICHAUD CRES,Casualty,LANGLEY,2018,1,49.101904,-122.66442
202 ST & 28 AVE,Casualty,LANGLEY,2018,1,49.052906,-122.663904
202 ST & 74 AVE,Casualty,LANGLEY,2018,1,49.136714,-122.662592
202A ST & 74B AVE,Casualty,LANGLEY,2018,1,49.138394,-122.661521
203 ST & 36 AVE,Casualty,LANGLEY,2018,1,49.067413,-122.661401
203 ST & 48 AVE & GRADE CRES,Casualty,LANGLEY,2018,1,49.089879,-122.659797
203 ST & 93A AVE,Casualty,LANGLEY,2018,1,49.172769,-122.661669
203A ST & LOGAN AVE,Casualty,LANGLEY,2018,1,49.107984,-122.65818
204 ST & 42 AVE,Casualty,LANGLEY,2018,1,49.078292,-122.658323
204 ST & 44 AVE,Casualty,LANGLEY,2018,1,49.082069,-122.658114
204 ST & 54 AVE,Casualty,LANGLEY,2018,1,49.100528,-122.656705
204 ST & 84 AVE,Casualty,LANGLEY,2018,1,49.155561,-122.657002
204 ST & 94B AVE,Casualty,LANGLEY,2018,1,49.174762,-122.657289
204 ST & PARK AVE & MALL ACCESS,Casualty,LANGLEY,2018,1,49.102522,-122.656611
204B ST & 82 AVE,Casualty,LANGLEY,2018,1,49.15175,-122.654908
205 ST & 62 AVE,Casualty,LANGLEY,2018,1,49.115035,-122.654448
205 ST & 96 AVE,Casualty,LANGLEY,2018,1,49.176977,-122.654859
205A ST & 40 AVE,Casualty,LANGLEY,2018,1,49.074659,-122.655076
206 ST & 42 AVE,Casualty,LANGLEY,2018,1,49.07831,-122.652798
206 ST & 56 AVE & LOGAN AVE,Casualty,LANGLEY,2018,1,49.104764,-122.651085
206B ST & 87 AVE,Casualty,LANGLEY,2018,1,49.160942,-122.649369
207 ST & 51B AVE,Casualty,LANGLEY,2018,1,49.096499,-122.649514
207 ST & 87 AVE,Casualty,LANGLEY,2018,1,49.160938,-122.648323
207B ST & 36 AVE,Casualty,LANGLEY,2018,1,49.067478,-122.648958
208 ST & 36 AVE,Casualty,LANGLEY,2018,1,49.067488,-122.647397
208 ST & 46 AVE,Casualty,LANGLEY,2018,1,49.085704,-122.646921
208 ST & 46A AVE,Casualty,LANGLEY,2018,1,49.086473,-122.647027
208 ST & 74B AVE,Casualty,LANGLEY,2018,1,49.138295,-122.645886
208 ST & 76 AVE,Casualty,LANGLEY,2018,1,49.140767,-122.645857
208 ST & 78B AVE & WILLOUGHBY TOWN CENTRE DR,Casualty,LANGLEY,2018,1,49.145471,-122.64579
208 ST & 90A AVE,Casualty,LANGLEY,2018,1,49.167381,-122.645813
208 ST & 93 AVE,Casualty,LANGLEY,2018,1,49.171203,-122.645882
208 ST & DOUGLAS CRES,Casualty,LANGLEY,2018,1,49.101559,-122.646851
209 ST & 77A AVE,Casualty,LANGLEY,2018,1,49.143092,-122.642685
209A ST & 72 AVE,Casualty,LANGLEY,2018,1,49.133355,-122.641665
