Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
116 AVE & LOUGHEED HWY,PDO,MAPLE RIDGE,2020,3,49.212423,-122.586332
132 AVE & 232 ST,PDO,MAPLE RIDGE,2020,4,49.243176,-122.579788
232 ST & KANAKA WAY,PDO,MAPLE RIDGE,2020,1,49.203462,-122.579423
124 AVE & 232 ST & ABERNETHY WAY,PDO,MAPLE RIDGE,2020,2,49.227619,-122.579171
LOUGHEED HWY & RIVER RD & TAMARACK LANE & TURNING LANE,PDO,MAPLE RIDGE,2020,2,49.201042,-122.578643
JIM ROBSON WAY & LOUGHEED HWY & TURNING LANE,PDO,MAPLE RIDGE,2020,3,49.192614,-122.572723
235 ST & LARCH AVE,PDO,MAPLE RIDGE,2020,1,49.243602,-122.571357
238 ST & KANAKA WAY,PDO,MAPLE RIDGE,2020,1,49.204572,-122.562651
238B ST & DEWDNEY TRUNK RD,PDO,MAPLE RIDGE,2020,4,49.220355,-122.561232
240 ST & DEWDNEY TRUNK RD,PDO,MAPLE RIDGE,2020,10,49.220346,-122.557124
110 AVE & 240 ST,PDO,MAPLE RIDGE,2020,1,49.202092,-122.556659
240A ST & HILL AVE,PDO,MAPLE RIDGE,2020,1,49.184977,-122.555557
112 AVE & 243B ST,PDO,MAPLE RIDGE,2020,1,49.205745,-122.54762
130 AVE & FERN CRES,PDO,MAPLE RIDGE,2020,1,49.238487,-122.546699
112 AVE & 244 ST,PDO,MAPLE RIDGE,2020,1,49.205734,-122.546415
102 AVE & 244 ST,PDO,MAPLE RIDGE,2020,2,49.187473,-122.545936
124 AVE & ANSELL ST,PDO,MAPLE RIDGE,2020,1,49.227703,-122.544869
104 AVE & 245B ST,PDO,MAPLE RIDGE,2020,1,49.191306,-122.54099
104 AVE & JACKSON RD,PDO,MAPLE RIDGE,2020,2,49.191303,-122.539493
100 AVE & JACKSON RD,PDO,MAPLE RIDGE,2020,1,49.184153,-122.538743
KIMOLA DR & MCCLURE DR,PDO,MAPLE RIDGE,2020,1,49.1969,-122.538474
DEWDNEY TRUNK RD & WEBSTER ST,PDO,MAPLE RIDGE,2020,1,49.22044,-122.508805
100 AVE & 262 ST,PDO,MAPLE RIDGE,2020,1,49.183999,-122.496788
263 ST & LOUGHEED HWY,PDO,MAPLE RIDGE,2020,2,49.172076,-122.492581
102 AVE & 243 ST,Casualty,MAPLE RIDGE,2018,1,49.18745,-122.549014
102 AVE & 244 ST,Casualty,MAPLE RIDGE,2018,1,49.187473,-122.545936
103 AVE & 240 ST,Casualty,MAPLE RIDGE,2018,1,49.189556,-122.556854
103 AVE & JACKSON RD,Casualty,MAPLE RIDGE,2018,1,49.189504,-122.540393
104 AVE & 240 ST,Casualty,MAPLE RIDGE,2018,1,49.191355,-122.556841
104 AVE & JACKSON RD,Casualty,MAPLE RIDGE,2018,1,49.191303,-122.539493
105 AVE & JIM ROBSON WAY & TAMARACK LANE,Casualty,MAPLE RIDGE,2018,1,49.195152,-122.564346
105A AVE & 248 ST,Casualty,MAPLE RIDGE,2018,1,49.19347,-122.534615
105A AVE & ROBERTSON ST,Casualty,MAPLE RIDGE,2018,1,49.193653,-122.536239
108 AVE & 248 ST,Casualty,MAPLE RIDGE,2018,1,49.198572,-122.534546
108 AVE & 249 ST,Casualty,MAPLE RIDGE,2018,1,49.198551,-122.531746
110 AVE & 240 ST,Casualty,MAPLE RIDGE,2018,1,49.202092,-122.556659
110 AVE & 249 ST,Casualty,MAPLE RIDGE,2018,1,49.202063,-122.531534
112 AVE & 246 ST,Casualty,MAPLE RIDGE,2018,1,49.207175,-122.539107
112 AVE & 252 ST,Casualty,MAPLE RIDGE,2018,1,49.207761,-122.523751
112 AVE & HYNES ST,Casualty,MAPLE RIDGE,2018,1,49.205646,-122.46151
113 AVE & HARRISON ST,Casualty,MAPLE RIDGE,2018,1,49.208234,-122.587012
115 AVE & MAPLE CRES,Casualty,MAPLE RIDGE,2018,1,49.21096,-122.657547
116 AVE & 228 ST,Casualty,MAPLE RIDGE,2018,1,49.211908,-122.591498
116 AVE & BURNETT ST,Casualty,MAPLE RIDGE,2018,1,49.212054,-122.588744
116 AVE & CREEKSIDE ST,Casualty,MAPLE RIDGE,2018,1,49.213152,-122.562808
116 AVE & WARESLEY ST,Casualty,MAPLE RIDGE,2018,1,49.213347,-122.652538
