Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
E BRAEMAR RD & LONSDALE AVE & W BRAEMAR RD,Casualty,NORTH VANCOUVER,2020,1,49.343282,-123.071879
E 6TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2021,1,49.314623,-123.071418
E 8TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2021,1,49.316544,-123.069453
E 13TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2021,7,49.319934,-123.069253
E 14TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,1,49.321014,-123.069225
E 15TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,1,49.32204,-123.069198
E 17TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,1,49.324114,-123.069146
E 21ST ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,1,49.328233,-123.069078
E 23RD ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,2,49.330199,-123.068991
E 24TH ST & ST GEORGES AVE,Casualty,NORTH VANCOUVER,2020,1,49.331195,-123.068966
E 3RD ST & ST PATRICKS AVE,Casualty,NORTH VANCOUVER,2020,1,49.309494,-123.067977
E 15TH ST & ST ANDREWS AVE,Casualty,NORTH VANCOUVER,2021,1,49.322011,-123.066122
ALDER CRT & SLEIL-WAUTUTH RD,Casualty,NORTH VANCOUVER,2018,1,49.310413,-122.9893
ALLAN RD & LYNN VALLEY RD,Casualty,NORTH VANCOUVER,2018,1,49.340051,-123.032579
ANNE MACDONALD WAY & MT SEYMOUR RD & ACCESS ROAD,Casualty,NORTH VANCOUVER,2018,1,49.322905,-122.971079
APEX AVE & MT SEYMOUR PKY,Casualty,NORTH VANCOUVER,2018,1,49.31562,-122.980213
BARROW ST & HARBOUR AVE,Casualty,NORTH VANCOUVER,2018,1,49.305197,-123.034216
BEAUFORT RD & MT SEYMOUR PKY,Casualty,NORTH VANCOUVER,2018,1,49.315883,-122.958124
