Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
FORD RD & WOOLRIDGE RD,PDO,PITT MEADOWS,2019,1,49.222541,-122.744868
141 AVE & REICHENBACH RD,PDO,PITT MEADOWS,2019,1,49.258694,-122.711453
ALLEN WAY & LOUGHEED HWY & TURNING LANE,PDO,PITT MEADOWS,2019,7,49.235211,-122.70017
122 AVE & 189A ST,PDO,PITT MEADOWS,2019,1,49.224348,-122.697722
191B ST & MCMYN RD & MALL ACCESS,PDO,PITT MEADOWS,2019,1,49.229655,-122.690804
AIRPORT WAY & HARRIS RD,PDO,PITT MEADOWS,2019,1,49.208104,-122.689762
FRASER WAY & HARRIS RD,PDO,PITT MEADOWS,2019,2,49.20421,-122.689716
FORD RD & HARRIS RD,PDO,PITT MEADOWS,2019,6,49.222414,-122.689588
124 AVE & HARRIS RD,PDO,PITT MEADOWS,2019,2,49.228052,-122.689554
HARRIS RD & OLD DEWDNEY TRUNK RD,PDO,PITT MEADOWS,2019,5,49.244127,-122.689525
HARRIS RD & LOUGHEED HWY & TURNING LANE,PDO,PITT MEADOWS,2019,68,49.231094,-122.689518
HARRIS RD & MCMYN RD,PDO,PITT MEADOWS,2019,9,49.229646,-122.689498
116B AVE & 192A ST,PDO,PITT MEADOWS,2019,1,49.21473,-122.688333
BLAKELY RD & HAMMOND RD,PDO,PITT MEADOWS,2019,1,49.217185,-122.683793
114B AVE & BONSON RD & WILDWOOD CRES S,PDO,PITT MEADOWS,2019,2,49.211432,-122.678312
HALE RD & OLD DEWDNEY TRUNK RD,PDO,PITT MEADOWS,2019,1,49.242293,-122.678221
GREENHAVEN CRT & HAMMOND RD & WILDWOOD CRES N,PDO,PITT MEADOWS,2019,1,49.217218,-122.67507
117A AVE & BONSON RD,Casualty,PITT MEADOWS,2018,1,49.215563,-122.678253
119 AVE & 193 ST,Casualty,PITT MEADOWS,2018,1,49.219036,-122.686753
119 AVE & HARRIS RD,Casualty,PITT MEADOWS,2018,1,49.219034,-122.689587
121B AVE & 189A ST,Casualty,PITT MEADOWS,2018,1,49.22364,-122.697748
189A ST & ADVENT RD,Casualty,PITT MEADOWS,2018,1,49.226102,-122.697487
190 ST & MITCHELL RD,Casualty,PITT MEADOWS,2018,1,49.217141,-122.694947
191B ST & FORD RD & MALL ACCESS,Casualty,PITT MEADOWS,2018,1,49.222423,-122.690806
AIRPORT WAY & BAYNES RD,Casualty,PITT MEADOWS,2018,1,49.209863,-122.700708
