Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BEDFORD ST & KINGSWAY AVE,Casualty,PORT COQUITLAM,2019,2,49.265067,-122.789985
PITT RIVER RD,Casualty,PORT COQUITLAM,2018,1,49.253585,-122.789792
PITT RIVER RD & REEVE ST,Casualty,PORT COQUITLAM,2019,3,49.254625,-122.787589
LANCASTER ST & LOUGHEED HWY,Casualty,PORT COQUITLAM,2019,2,49.272314,-122.787529
CITADEL DR & CONFEDERATION DR & PALISADE CRES,Casualty,PORT COQUITLAM,2019,1,49.231867,-122.785479
MARY HILL LANE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,2,49.243537,-122.785355
PITT RIVER RD & ROWLAND ST,Casualty,PORT COQUITLAM,2019,1,49.254625,-122.785281
GATELY AVE & KINGSWAY AVE,Casualty,PORT COQUITLAM,2019,2,49.266061,-122.785046
KINGSWAY AVE & TICEHURST LANE,Casualty,PORT COQUITLAM,2019,3,49.265919,-122.783293
KELLY AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,3,49.25906,-122.782725
SHAUGHNESSY ST & WELCHER AVE,Casualty,PORT COQUITLAM,2019,2,49.258023,-122.782699
SHAUGHNESSY ST & WILSON AVE,Casualty,PORT COQUITLAM,2019,5,49.260879,-122.782688
MARPOLE AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,2,49.261286,-122.782683
LEIGH SQUARE PL & SHAUGHNESSY ST & WHYTE AVE,Casualty,PORT COQUITLAM,2019,4,49.262039,-122.781913
DONALD ST & WILSON AVE,Casualty,PORT COQUITLAM,2019,1,49.260868,-122.781115
THEA AVE & WESTERN DR,Casualty,PORT COQUITLAM,2019,1,49.247253,-122.780439
KINGSWAY AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,1,49.264377,-122.779601
MARY HILL RD & WILSON AVE,Casualty,PORT COQUITLAM,2019,1,49.260877,-122.778541
LIONS WAY & SHAUGHNESSY ST & MALL ACCESS,Casualty,PORT COQUITLAM,2019,6,49.266106,-122.777793
ELGIN AVE & MARY HILL RD,Casualty,PORT COQUITLAM,2019,1,49.262501,-122.777697
KINGSWAY AVE & MARY HILL RD,Casualty,PORT COQUITLAM,2019,2,49.263275,-122.777156
CHESTER ST & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,1,49.268422,-122.775523
PITT RIVER RD & TYNER ST,Casualty,PORT COQUITLAM,2019,2,49.253771,-122.775295
PRAIRIE AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,2,49.271224,-122.775291
DORSET AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2019,1,49.273922,-122.775065
EASTERN DR & SCARBOROUGH CRES,Casualty,PORT COQUITLAM,2019,1,49.249413,-122.77486
FLINT ST & LOUGHEED HWY,Casualty,PORT COQUITLAM,2019,2,49.26675,-122.774493
PITT RIVER RD & ROUTLEY AVE,Casualty,PORT COQUITLAM,2019,1,49.240396,-122.773853
MCLEAN AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2019,1,49.253429,-122.773619
FLINT ST & FRASER AVE,Casualty,PORT COQUITLAM,2019,1,49.269228,-122.772052
CAMERON AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2019,1,49.248161,-122.771939
HARBOUR ST & PITT RIVER RD,Casualty,PORT COQUITLAM,2019,1,49.23552,-122.770404
LANGAN AVE & TAYLOR ST,Casualty,PORT COQUITLAM,2019,1,49.250181,-122.769119
HOMFELD PL,Casualty,PORT COQUITLAM,2022,1,49.251422,-122.767911
LOUGHEED HWY & OXFORD CONN & OXFORD ST & TURNING LANE,Casualty,PORT COQUITLAM,2019,16,49.263719,-122.767413
DORSET AVE & OXFORD ST,Casualty,PORT COQUITLAM,2019,1,49.273859,-122.767212
KINGSWAY AVE & MCLEAN AVE & TURNING LANE,Casualty,PORT COQUITLAM,2019,14,49.253573,-122.764023
BROADWAY ST & LANGAN AVE,Casualty,PORT COQUITLAM,2019,2,49.250166,-122.762342
MANNING AVE & WELLINGTON ST,Casualty,PORT COQUITLAM,2019,1,49.268306,-122.761628
PRAIRIE AVE & VINCENT ST,Casualty,PORT COQUITLAM,2019,3,49.271178,-122.758954
SALISBURY AVE & SEFTON ST,Casualty,PORT COQUITLAM,2019,2,49.272399,-122.757613
CHELSEA AVE & SEFTON ST,Casualty,PORT COQUITLAM,2019,1,49.282108,-122.757493
COAST MERIDIAN CONN & COAST MERIDIAN OVERPASS & COAST MERIDIAN RD & LOUGHEED HWY & LOUGHEED MERIDIAN RD & ACCESS ROAD & INDUSTRIAL ACCESS ROAD & MALL ACCESS & TURNING LANE,Casualty,PORT COQUITLAM,2019,27,49.259848,-122.756931
COAST MERIDIAN OVERPASS & LOUGHEED HWY,Casualty,PORT COQUITLAM,2019,7,49.259073,-122.756527
CAPITAL CRT & CITADEL DR,PDO,PORT COQUITLAM,2019,1,49.228415,-122.791188
LOUGHEED HWY & WESTWOOD ST & TURNING LANE,PDO,PORT COQUITLAM,2019,67,49.27352,-122.790547
ANSON AVE & WESTWOOD ST,PDO,PORT COQUITLAM,2019,6,49.277217,-122.790487
COUTTS WAY & FLETCHER WAY,PDO,PORT COQUITLAM,2019,1,49.233494,-122.789841
JANE ST & KINGSWAY AVE,PDO,PORT COQUITLAM,2019,3,49.265532,-122.787666
ELINOR CRES & JUNE CRES,PDO,PORT COQUITLAM,2019,1,49.241603,-122.786437
LOUGHEED HWY & RALEIGH ST,PDO,PORT COQUITLAM,2019,2,49.271662,-122.785996
MARPOLE AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,3,49.261286,-122.782683
HAWTHORNE AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,2,49.257123,-122.782677
PITT RIVER RD & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,11,49.254583,-122.782641
DAVIES AVE & HASTINGS ST,PDO,PORT COQUITLAM,2019,1,49.267959,-122.782386
HASTINGS ST & LOUGHEED HWY & TURNING LANE,PDO,PORT COQUITLAM,2019,15,49.270082,-122.782324
THEA AVE & WESTERN DR,PDO,PORT COQUITLAM,2019,1,49.247253,-122.780439
ELGIN AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,8,49.26362,-122.780357
