Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
NO 6 RD & RIVER RD,Casualty,RICHMOND,2021,3,49.201543,-123.069368
BURROWS RD & NO 6 RD,Casualty,RICHMOND,2020,1,49.197381,-123.069236
NO 6 RD & VULCAN WAY,Casualty,RICHMOND,2020,1,49.19884,-123.069212
NO 6 RD & VULCAN WAY,Casualty,RICHMOND,2021,3,49.19884,-123.069212
HWY 91 & NO 6 RD & NO 6 RD ONRAMP,Casualty,RICHMOND,2020,1,49.177895,-123.069209
HWY 91 & NO 6 RD & NO 6 RD OFFRAMP & NO 6 RD ONRAMP,Casualty,RICHMOND,2020,24,49.177941,-123.069209
COMMERCE PKY & NO 6 RD,Casualty,RICHMOND,2021,1,49.176336,-123.069178
NO 6 RD & STEVESTON HWY,Casualty,RICHMOND,2020,1,49.13362,-123.068731
1ST AVE & CHATHAM ST,Casualty,RICHMOND,2018,1,49.126424,-123.182732
1ST AVE & MONCTON ST,Casualty,RICHMOND,2018,1,49.12518,-123.182723
2ND AVE & BAYVIEW ST,Casualty,RICHMOND,2018,1,49.124185,-123.184254
4TH AVE & CHATHAM ST,Casualty,RICHMOND,2018,1,49.126432,-123.187194
4TH AVE & STEVESTON HWY,Casualty,RICHMOND,2018,1,49.133771,-123.187181
6TH AVE & STEVESTON HWY,Casualty,RICHMOND,2018,1,49.133776,-123.190301
7TH AVE & SPRINGMONT GATE & STEVESTON HWY,Casualty,RICHMOND,2018,1,49.133778,-123.191794
ABERCROMBIE DR & MINORU BLVD,Casualty,RICHMOND,2018,1,49.158334,-123.140304
AIREY DR & BRIDGEPORT RD,Casualty,RICHMOND,2018,1,49.192005,-123.106251
AIRPORT RD & RUSS BAKER WAY,Casualty,RICHMOND,2018,1,49.182765,-123.149568
ALBION RD & NO 4 RD,Casualty,RICHMOND,2018,1,49.141632,-123.114132
ALDERBRIDGE WAY & CEDARBRIDGE WAY,Casualty,RICHMOND,2018,1,49.175303,-123.142656
ALEXANDRA RD & GARDEN CITY RD,Casualty,RICHMOND,2018,1,49.178832,-123.124462
ALOUETTE FLYOVER & HWY 99,Casualty,RICHMOND,2018,1,49.175184,-123.093431
ANDERSON RD & BUSWELL ST,Casualty,RICHMOND,2018,1,49.163493,-123.133718
ANDERSON RD & COONEY RD,Casualty,RICHMOND,2018,1,49.163208,-123.131244
ARAGON RD & WILLIAMS RD,Casualty,RICHMOND,2018,1,49.140713,-123.107907
ARCADIA RD & WESTMINSTER HWY,Casualty,RICHMOND,2018,1,49.170182,-123.125988
ARVIDA DR & ARVIDA GATE,Casualty,RICHMOND,2018,1,49.146553,-123.112927
ASH ST & SAUNDERS RD,Casualty,RICHMOND,2018,1,49.143148,-123.11977
ASH ST & WILLIAMS RD,Casualty,RICHMOND,2018,1,49.140789,-123.119764
AZURE BLVD & WESTMINSTER HWY,Casualty,RICHMOND,2018,1,49.170164,-123.151185
BAMBERTON DR & GILBERT RD,Casualty,RICHMOND,2018,1,49.1388,-123.147854
BAMFIELD GATE & SHELL RD & SHELLBRIDGE WAY,Casualty,RICHMOND,2018,1,49.187418,-123.10271
BARGEN DR & DANIELS RD,Casualty,RICHMOND,2018,1,49.188321,-123.096671
BATHGATE WAY & JACOMBS RD,Casualty,RICHMOND,2018,1,49.189235,-123.080325
BAYVIEW ST & NO 1 RD,Casualty,RICHMOND,2018,1,49.123966,-123.181188
BIRCH ST & FERNDALE RD,Casualty,RICHMOND,2018,1,49.168618,-123.1168
BIRD RD & SHELL RD,Casualty,RICHMOND,2018,1,49.18982,-123.102688
BLACKSMITH PL & HORSESHOE WAY,Casualty,RICHMOND,2018,1,49.128338,-123.095895
BLAIR DR & SHELL RD,Casualty,RICHMOND,2018,1,49.178252,-123.102866
BLUNDELL RD & CHEVIOT PL,Casualty,RICHMOND,2018,1,49.155594,-123.156155
BLUNDELL RD & CLIFTON RD,Casualty,RICHMOND,2018,1,49.155604,-123.165057
BLUNDELL RD & DALEMORE RD,Casualty,RICHMOND,2018,1,49.15565,-123.187612
BOUNDARY RD & DYKE RD & SOUTH DYKE RD,Casualty,RICHMOND,2018,1,49.176201,-122.957321
BOUNDARY RD & EWEN AVE & THOMPSON GATE,Casualty,RICHMOND,2018,1,49.181851,-122.957272
BOUNDARY RD & HWY 91 & HWY 91A,Casualty,RICHMOND,2018,1,49.177069,-122.95734
BOWCOCK RD & GARDEN CITY RD,Casualty,RICHMOND,2018,1,49.151311,-123.125242
BOWCOCK RD & ST ALBANS RD,Casualty,RICHMOND,2018,1,49.151349,-123.130952
BRIDGEPORT RD & HWY 99 & OAK ST BRIDGE,Casualty,RICHMOND,2018,1,49.192015,-123.118438
BRIDGEPORT RD & MCLENNAN AVE,Casualty,RICHMOND,2018,1,49.192003,-123.107831
BRIDGEPORT RD & MCLEOD AVE,Casualty,RICHMOND,2018,1,49.192003,-123.11087
BRIDGEPORT RD & SEXSMITH RD,Casualty,RICHMOND,2018,1,49.191997,-123.128143
BRIDGEPORT RD & VICKERS WAY,Casualty,RICHMOND,2018,1,49.19197,-123.089542
BRIDGEPORT STATION LOOP & GREAT CANADIAN WAY,Casualty,RICHMOND,2018,1,49.195769,-123.125424
BROADMOOR BLVD & NO 3 RD,Casualty,RICHMOND,2018,1,49.145965,-123.136682
BURDETTE ST & RIVER RD,Casualty,RICHMOND,2018,1,49.202636,-123.063553
BURROWS RD & NO 6 RD,Casualty,RICHMOND,2018,1,49.197381,-123.069236
CALDER RD & COLBECK RD,Casualty,RICHMOND,2018,1,49.152477,-123.167988
CAMBIE RD & DALLYN RD,Casualty,RICHMOND,2018,1,49.18459,-123.097808
CAMBIE RD & KNIGHT ST,Casualty,RICHMOND,2018,1,49.184607,-123.077015
CAMBIE RD & ODLIN CRES,Casualty,RICHMOND,2018,1,49.184674,-123.126998
CAMBIE RD & ST EDWARDS DR,Casualty,RICHMOND,2018,1,49.18457,-123.104639
CAPSTAN WAY & HAZELBRIDGE WAY,Casualty,RICHMOND,2018,1,49.188267,-123.131158
CARTER DR & FISHER DR,Casualty,RICHMOND,2018,1,49.178642,-123.109938
CEDARBRIDGE WAY & RIVER PKY,Casualty,RICHMOND,2018,1,49.176698,-123.144296
CHARLES ST & RIVER RD,Casualty,RICHMOND,2018,1,49.195112,-123.128469
CHATHAM ST & NO 1 RD,Casualty,RICHMOND,2018,1,49.12648,-123.181215
CLARKE PL & JACOMBS RD,Casualty,RICHMOND,2018,1,49.18565,-123.080293
COLVILLE RD & NO 2 RD,Casualty,RICHMOND,2018,1,49.151553,-123.15893
COMMERCE PKY & NO 6 RD,Casualty,RICHMOND,2018,1,49.176336,-123.069178
COMSTOCK RD & GILBERT RD,Casualty,RICHMOND,2018,1,49.161093,-123.147789
COOK RD & KATSURA ST,Casualty,RICHMOND,2018,1,49.166411,-123.122104
COONEY RD & PARK RD,Casualty,RICHMOND,2018,1,49.164697,-123.131529
COONEY RD & SABA RD,Casualty,RICHMOND,2018,1,49.168826,-123.131505
COPPERSMITH WAY & HORSESHOE WAY,Casualty,RICHMOND,2018,1,49.130667,-123.095805
DAYTON AVE & MYRON CRT,Casualty,RICHMOND,2018,1,49.151835,-123.12373
DESMOND AVE & NO 1 RD & PETERSON GATE,Casualty,RICHMOND,2018,1,49.142839,-123.181361
DIXON AVE & GARDEN CITY RD,Casualty,RICHMOND,2018,1,49.153697,-123.125284
DYKE RD & FRASERWOOD WAY & QUEENS RD,Casualty,RICHMOND,2018,1,49.168815,-122.968173
DYKE RD & NO 3 RD,Casualty,RICHMOND,2018,1,49.110647,-123.136795
DYKE RD & NO 4 RD,Casualty,RICHMOND,2018,1,49.114155,-123.114446
EASTHOPE AVE & MONCTON ST,Casualty,RICHMOND,2018,1,49.125168,-123.178802
ELKMOND RD & NISHI CRT & WILLIAMS RD,Casualty,RICHMOND,2018,1,49.141028,-123.185584
ENTERTAINMENT BLVD & STEVESTON HWY,Casualty,RICHMOND,2018,1,49.133633,-123.066169
