Latitude,Longitude,Location,Municipality,Crash Type,Year,Crash Count,
49.002146,-122.751603,0 AVE & 170 ST,SURREY,PDO,2018,1,
49.002146,-122.751603,0 AVE & 170 ST,SURREY,PDO,2022,1,0
49.002146,-122.74984,0 AVE & 171 ST,SURREY,PDO,2021,1,0
49.00302,-122.746305,0 AVE & 172 ST,SURREY,PDO,2020,1,0
49.00302,-122.746305,0 AVE & 172 ST,SURREY,PDO,2021,1,0
49.002162,-122.73113,0 AVE & 176A ST,SURREY,PDO,2022,3,0
49.002159,-122.713777,0 AVE & 184 ST,SURREY,PDO,2019,2,0
49.002159,-122.713777,0 AVE & 184 ST,SURREY,Casualty,2020,1,0
49.002159,-122.713777,0 AVE & 184 ST,SURREY,PDO,2018,2,0
49.002159,-122.713777,0 AVE & 184 ST,SURREY,PDO,2020,3,0
49.002159,-122.713777,0 AVE & 184 ST,SURREY,PDO,2021,2,0
49.002178,-122.702179,0 AVE & 188 ST,SURREY,Casualty,2021,1,0
49.002178,-122.702179,0 AVE & 188 ST,SURREY,PDO,2020,2,0
49.002188,-122.696649,0 AVE & 190 ST,SURREY,Casualty,2018,1,0
49.002183,-122.691206,0 AVE & 192 ST,SURREY,PDO,2019,1,0
49.002183,-122.691206,0 AVE & 192 ST,SURREY,PDO,2018,2,0
49.002183,-122.691206,0 AVE & 192 ST,SURREY,PDO,2020,1,0
49.002183,-122.691206,0 AVE & 192 ST,SURREY,PDO,2021,1,0
49.002183,-122.691206,0 AVE & 192 ST,SURREY,PDO,2022,1,0
49.002225,-122.684858,0 AVE & 194 ST,SURREY,Casualty,2018,1,0
49.002225,-122.684858,0 AVE & 194 ST,SURREY,PDO,2020,1,0
49.002225,-122.684858,0 AVE & 194 ST,SURREY,PDO,2022,1,0
49.002161,-122.754929,0 AVE & PEACE PARK DR,SURREY,PDO,2019,1,0
49.003025,-122.749813,0A AVE & 171 ST,SURREY,PDO,2021,1,0
49.002966,-122.755192,0A AVE & PEACE PARK DR,SURREY,Casualty,2020,1,0
49.003585,-122.74396,0B AVE & 173 ST,SURREY,PDO,2018,1,0
49.003919,-122.746316,1 AVE & 172 ST,SURREY,PDO,2018,1,0
49.003919,-122.746316,1 AVE & 172 ST,SURREY,PDO,2021,1,0
49.003919,-122.746316,1 AVE & 172 ST,SURREY,PDO,2022,1,0
49.004177,-122.745047,1 AVE & 172A ST,SURREY,PDO,2021,1,0
49.004171,-122.740609,1 AVE & 174 ST,SURREY,PDO,2019,1,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,Casualty,2018,1,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,Casualty,2019,3,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,Casualty,2020,1,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,Casualty,2022,1,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,PDO,2018,4,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,PDO,2019,12,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,PDO,2020,1,0
49.004036,-122.735328,1 AVE & 176 ST,SURREY,PDO,2022,3,0
49.020188,-122.771104,10 AVE & 163 ST,SURREY,Casualty,2018,1,0
49.020188,-122.771104,10 AVE & 163 ST,SURREY,PDO,2019,1,0
49.020191,-122.768236,10 AVE & 164 ST,SURREY,PDO,2022,2,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,Casualty,2018,1,0
